기간	자치구	시설합계	노인복지관	노인복지관	경로당	노인교실
기간	자치구	시설합계	시설수	종사자수	경로당	노인교실
2015	합계	3,777	74	1,284	3,333	370
2015	종로구	70	2	98	57	11
2015	중구	52	1	26	48	3
2015	용산구	111	2	44	84	25
2015	성동구	168	2	38	151	15
2015	광진구	105	1	29	94	10
2015	동대문구	146	1	31	128	17
2015	중랑구	129	4	67	117	8
2015	성북구	173	5	39	160	8
2015	강북구	111	1	33	96	14
2015	도봉구	147	5	92	136	6
2015	노원구	257	2	38	242	13
2015	은평구	171	6	68	148	17
2015	서대문구	112	5	49	97	10
2015	마포구	167	3	60	148	16
2015	양천구	192	3	40	161	28
2015	강서구	231	5	46	207	19
2015	구로구	210	2	41	189	19
2015	금천구	81	3	43	70	8
2015	영등포구	200	2	47	172	26
2015	동작구	150	2	49	135	13
2015	관악구	128	1	31	108	19
2015	서초구	145	3	73	132	10
2015	강남구	198	7	72	167	24
2015	송파구	183	3	80	164	16
2015	강동구	140	3	50	122	15
2016	합계	3,808	76	1,404	3,369	363
2016	종로구	69	2	98	56	11
2016	중구	50	1	26	46	3
2016	용산구	111	2	64	85	24
2016	성동구	172	3	62	154	15
2016	광진구	107	1	30	96	10
2016	동대문구	149	1	32	133	15
2016	중랑구	132	4	70	120	8
2016	성북구	172	5	43	159	8
2016	강북구	113	2	38	96	15
2016	도봉구	146	5	91	136	5
2016	노원구	260	2	42	244	14
2016	은평구	170	6	69	148	16
2016	서대문구	116	5	52	101	10
2016	마포구	170	4	70	150	16
2016	양천구	193	4	54	163	26
2016	강서구	239	5	57	213	21
2016	구로구	210	2	43	189	19
2016	금천구	80	3	61	71	6
2016	영등포구	202	2	46	173	27
2016	동작구	148	2	50	135	11
2016	관악구	144	1	31	124	19
2016	서초구	146	3	75	132	11
2016	강남구	193	6	75	164	23
2016	송파구	181	3	93	163	15
2016	강동구	135	2	32	118	15
2017	합계	3,815	80	1,505	3,363	372
2017	종로구	71	3	105	57	11
2017	중구	51	1	27	47	3
2017	용산구	112	2	67	85	25
2017	성동구	178	3	64	159	16
2017	광진구	110	1	63	97	12
2017	동대문구	149	1	26	133	15
2017	중랑구	133	4	73	121	8
2017	성북구	176	5	46	161	10
2017	강북구	114	2	43	96	16
2017	도봉구	147	5	94	135	7
2017	노원구	265	2	41	245	18
2017	은평구	176	7	96	153	16
2017	서대문구	119	5	51	104	10
2017	마포구	170	4	58	152	14
2017	양천구	193	4	58	163	26
2017	강서구	228	5	59	200	23
2017	구로구	211	2	42	190	19
2017	금천구	79	3	73	70	6
2017	영등포구	201	3	45	169	29
2017	동작구	152	2	55	135	15
2017	관악구	130	1	33	113	16
2017	서초구	145	3	63	132	10
2017	강남구	193	6	85	166	21
2017	송파구	183	3	49	163	17
2017	강동구	129	3	89	117	9
2018	합계	3,885	82	1,511	3,425	378
2018	종로구	75	3	89	62	10
2018	중구	52	2	61	47	3
2018	용산구	115	2	78	88	25
2018	성동구	180	3	42	161	16
2018	광진구	109	1	28	97	11
2018	동대문구	152	1	26	134	17
2018	중랑구	138	5	75	123	10
2018	성북구	181	5	39	165	11
2018	강북구	115	1	26	98	16
2018	도봉구	147	5	108	135	7
2018	노원구	263	3	50	246	14
2018	은평구	176	7	102	153	16
2018	서대문구	122	5	53	106	11
2018	마포구	172	4	66	154	14
2018	양천구	191	4	58	164	23
2018	강서구	247	5	53	217	25
2018	구로구	215	2	44	193	20
2018	금천구	80	3	64	70	7
2018	영등포구	203	3	40	172	28
2018	동작구	152	2	57	136	14
2018	관악구	132	1	34	113	18
2018	서초구	149	3	75	137	9
2018	강남구	193	6	86	165	22
2018	송파구	188	3	50	168	17
2018	강동구	138	3	107	121	14
2019	합계	3,942	85	2,040	3,466	391
2019	종로구	76	3	107	63	10
2019	중구	53	2	62	47	4
2019	용산구	111	2	42	88	21
2019	성동구	179	4	82	163	12
2019	광진구	108	1	63	97	10
2019	동대문구	152	1	45	135	16
2019	중랑구	142	5	136	126	11
2019	성북구	190	6	57	173	11
2019	강북구	117	1	35	99	17
2019	도봉구	149	5	112	135	9
2019	노원구	264	3	138	244	17
2019	은평구	180	7	167	156	17
2019	서대문구	126	4	40	110	12
2019	마포구	173	4	70	154	15
2019	양천구	197	4	69	164	29
2019	강서구	251	5	55	217	29
2019	구로구	219	2	38	197	20
2019	금천구	85	3	111	73	9
2019	영등포구	205	4	62	174	27
2019	동작구	156	3	115	139	14
2019	관악구	134	1	33	114	19
2019	서초구	152	3	115	140	9
2019	강남구	195	6	93	167	22
2019	송파구	190	3	87	170	17
2019	강동구	138	3	106	121	14
2020	합계	3,910	83	2,225	3,472	355
2020	종로구	75	3	111	63	9
2020	중구	54	2	66	48	4
2020	용산구	110	2	75	88	20
2020	성동구	179	4	82	162	13
2020	광진구	106	1	63	95	10
2020	동대문구	151	1	41	134	16
2020	중랑구	143	5	156	127	11
2020	성북구	190	6	110	175	9
2020	강북구	118	1	35	100	17
2020	도봉구	149	5	95	135	9
2020	노원구	259	3	125	243	13
2020	은평구	178	7	170	154	17
2020	서대문구	127	4	96	111	12
2020	마포구	169	4	70	154	11
2020	양천구	191	4	142	164	23
2020	강서구	248	5	97	218	25
2020	구로구	221	2	44	199	20
2020	금천구	83	3	113	73	7
2020	영등포구	202	1	27	174	27
2020	동작구	151	3	63	140	8
2020	관악구	134	1	33	114	19
2020	서초구	151	4	130	141	6
2020	강남구	195	6	94	167	22
2020	송파구	192	3	48	172	17
2020	강동구	134	3	139	121	10
