자치구,독거노인 총인구수,나머지,기초수급노인,시설합계,노인복지관,종사자수,경로당,노인교실,기간,노인 요양 시설수,요양시설 종사자수,전체인구_y,65세이상 인구_y,1인당 복지수준,독거노인 비율,65세이상 인구 비율,1인당 요양수준,기초수급노인 비율,복지시설 수준,요양시설 수준,오차1,오차2,오차3,오차4,오차5,오차6,오차8
종로구,9648.0,7608.0,2040.0,75.0,3.0,111.0,63.0,9.0,2020.0,10.0,258.0,153789.0,27818.0,0.0026960960529153785,0.3468257962470343,0.18088419847973522,0.00035947947372205047,0.0733338126392983,1.48,25.8,5.574092774397741,21033.818546929353,5956.1066261339,1.1138745025027443,26.338996883333934,6.48276660619851,119908.50590827077
중구,7117.0,4937.0,2180.0,54.0,2.0,66.0,48.0,4.0,2020.0,3.0,68.0,131787.0,24392.0,0.00221384060347655,0.29177599212856675,0.18508654116111603,0.0001229911446375861,0.08937356510331255,1.2222222222222223,22.666666666666668,19.43702506651323,25341.68134166456,6338.111901636876,4.80991896764959,17.541605886321932,91.48434906789157,83290.15715889778
용산구,10354.0,7686.0,2668.0,110.0,2.0,75.0,88.0,20.0,2020.0,4.0,143.0,237285.0,39070.0,0.0028154594317890964,0.2650115177885846,0.16465431864635355,0.00010238034297414896,0.06828768876375736,0.6818181818181818,35.75,5.985660334441562,13737.603083312977,6533.419164864201,8.420706896751764,11.526665167239614,29.631903971592976,52764.13222872018
성동구,14036.0,10662.0,3374.0,179.0,4.0,82.0,162.0,13.0,2020.0,6.0,251.0,292672.0,46380.0,0.003859422164726175,0.3026304441569642,0.1584709162475399,0.000129366106080207,0.0727468736524364,0.4581005586592179,41.833333333333336,59.75741604237041,10874.711176763361,15790.191074942064,8.716991115428483,8.20468463837031,52.072986221004186,82655.72728806094
광진구,11403.0,8220.0,3183.0,106.0,1.0,63.0,95.0,10.0,2020.0,20.0,368.0,352627.0,51723.0,0.002049378419658566,0.220462850182704,0.14667906881775927,0.0003866751735204841,0.061539353865785046,0.5943396226415094,18.4,24.373159778769974,4328.598363946046,42027.84378568706,3.604616739511364,23.31344664717406,14.992782430815623,38282.0377285725
동대문구,16102.0,10840.0,5262.0,151.0,1.0,41.0,134.0,16.0,2020.0,25.0,264.0,352006.0,62211.0,0.002427223481377891,0.25882882448441596,0.17673278296392675,0.00040185819228110787,0.08458311231132758,0.271523178807947,10.56,1.22183640465812,6936.260865763805,24778.358978622593,5.310030024671221,47.71215499791148,184.7305569493227,71172.23717198212
중랑구,17946.0,11026.0,6920.0,143.0,5.0,156.0,127.0,11.0,2020.0,48.0,740.0,391885.0,71682.0,0.0019949220166848025,0.2503557378421361,0.18291590645214795,0.0006696241734326609,0.09653748500320862,1.0909090909090908,15.416666666666666,28.951891355438704,7909.0359634135675,44666.7174245395,25.3349126737701,67.71428204221962,11.124319734455185,74002.01753304253
성북구,17225.0,12260.0,4965.0,190.0,6.0,110.0,175.0,9.0,2020.0,21.0,431.0,440142.0,74709.0,0.002543200953031094,0.23056124429452943,0.16973840260643155,0.00028109063165080513,0.06645785648315464,0.5789473684210527,20.523809523809526,11.742240590922535,7432.548063067297,15511.796826481237,2.615956318012998,19.20896443144943,34.859662665482915,9045.977055643103
강북구,17086.0,10673.0,6413.0,118.0,1.0,35.0,100.0,17.0,2020.0,31.0,462.0,302563.0,64333.0,0.0018342063948517868,0.26558686832574263,0.21262679177559715,0.00048186778169835077,0.09968445432359753,0.2966101694915254,14.903225806451612,38.64240198438111,12064.432842479655,87612.37731060816,10.643447930002,51.953102207370705,65.61588637153125,143405.6058679059
도봉구,13980.0,9809.0,4171.0,149.0,5.0,95.0,135.0,9.0,2020.0,55.0,725.0,319373.0,64160.0,0.0023223192019950125,0.2178927680798005,0.20089362594834254,0.0008572319201995012,0.06500935162094763,0.6375838926174496,13.181818181818182,7.282007146825947,1884.969913208377,69710.6496143624,34.69779227608012,6.3944542621213,118.15720406036519,54657.71443544736
노원구,21899.0,12153.0,9746.0,259.0,3.0,125.0,243.0,13.0,2020.0,32.0,661.0,514946.0,88345.0,0.0029316882675873,0.2478804686173524,0.17156167831190067,0.0003622163110532571,0.11031750523515763,0.4826254826254826,20.65625,52.33562784582236,9047.066377139869,26758.657323632855,4.1005783460258876,30.53094496031872,120.2365587247674,42496.228361280984
은평구,19437.0,16345.0,3092.0,178.0,7.0,170.0,154.0,17.0,2020.0,22.0,683.0,477173.0,87241.0,0.00204032507651219,0.22279662085487328,0.1828288691941916,0.00025217500945656286,0.03544205132907693,0.9550561797752809,31.045454545454547,26.364511456715746,31762.61245263183,57564.79387475818,5.552623052411992,79.84861999164607,273.71210776178157,23246.984733878227
서대문구,12349.0,8883.0,3466.0,127.0,4.0,96.0,111.0,12.0,2020.0,18.0,292.0,315659.0,54268.0,0.002340237340605882,0.2275558340089924,0.17191969815528782,0.0003316871821331171,0.0638682096262991,0.7559055118110236,16.22222222222222,8.674921984422667,3566.221013303635,11000.54342209018,0.8051580067436142,8.567156122481805,64.69767262341281,20596.21510307782
마포구,12545.0,9292.0,3253.0,169.0,4.0,70.0,154.0,11.0,2020.0,4.0,213.0,378686.0,54582.0,0.003096258839910593,0.2298376754241325,0.14413524661592983,7.328423289729215e-05,0.05959840240372284,0.41420118343195267,53.25,32.670950969378936,1910.52976131365,50044.93925640016,13.293478552034017,19.67163833820645,40.368096028407024,37891.23991277476
양천구,14098.0,9302.0,4796.0,191.0,4.0,142.0,164.0,23.0,2020.0,21.0,485.0,450487.0,68627.0,0.002783161146487534,0.20542934996429976,0.15233957916654642,0.0003060020108703572,0.0698850306730587,0.743455497382199,23.095238095238095,25.412306498498026,2415.082436711935,33214.057789511455,0.7054227177405181,51.155659801433046,88.85966266548292,73723.2941965455
강서구,20897.0,12489.0,8408.0,248.0,5.0,97.0,218.0,25.0,2020.0,31.0,687.0,579768.0,92558.0,0.0026794010242226496,0.2257719483999222,0.15964661726759669,0.0003349251280278312,0.09084033795025821,0.3911290322580645,22.161290322580644,32.55907610813483,3594.022332543711,11476.933518659673,1.7771521608979768,3.11729589049898,159.38411362846875,45533.03732298291
구로구,14924.0,10775.0,4149.0,221.0,2.0,44.0,199.0,20.0,2020.0,17.0,539.0,421163.0,72611.0,0.0030436159810497032,0.20553359683794467,0.17240593309478752,0.00023412430623459256,0.057140102739254385,0.19909502262443438,31.705882352941178,47.11280919896157,10474.548352381054,21251.232047732046,5.956913323377737,48.44347909905858,195.44988228028865,25268.354620495695
금천구,10220.0,6426.0,3794.0,83.0,3.0,113.0,73.0,7.0,2020.0,25.0,466.0,244891.0,41041.0,0.0020223678760264126,0.24901927340951732,0.1675888456496972,0.0006091469506103652,0.09244414122462903,1.3614457831325302,18.64,25.12034096510321,18859.299560968968,1701.2961053243198,11.960144512959342,27.912559843202843,17.269443050677296,42054.565759966325
영등포구,13868.0,9859.0,4009.0,202.0,1.0,27.0,174.0,27.0,2020.0,18.0,190.0,400908.0,62516.0,0.003231172819758142,0.22183121120993027,0.15593602522274436,0.0002879262908695374,0.0641275833386653,0.13366336633663367,10.555555555555555,49.14278541352496,1261.4111471162614,22198.918782331457,1.7857793715936765,64.43069112874721,166.6976726234128,29471.311269779748
동작구,14595.0,10398.0,4197.0,151.0,3.0,63.0,140.0,8.0,2020.0,10.0,160.0,394364.0,66613.0,0.002266824793959137,0.21910137660816958,0.16891247679808502,0.00015012084728206206,0.06300571960428145,0.41721854304635764,16.0,10.392114294356787,4174.195394186128,10199.464868066774,11.072766573224115,25.712154997911483,91.51723339380149,6089.305129600281
관악구,21349.0,14568.0,6781.0,134.0,1.0,33.0,114.0,19.0,2020.0,28.0,416.0,499449.0,79871.0,0.001677705299795921,0.26729351078614266,0.15991822988933804,0.0003505652865245208,0.08489940028295627,0.2462686567164179,14.857142857142858,55.01127473543468,1155.5278113592358,11220.068098254967,2.7625089163496277,54.8059762876329,72.17322166042698,45254.70927311224
서초구,9553.0,7511.0,2042.0,151.0,4.0,130.0,141.0,6.0,2020.0,5.0,221.0,416167.0,60678.0,0.002488546095784304,0.15743762154322818,0.14580204581333936,8.240218860212928e-05,0.033653053825109594,0.8609271523178808,44.2,1.9717201616544742,11813.583413145854,49056.73673435289,14.208409960659637,41.28784500208852,35.22054112470559,144669.78375241294
강남구,13592.0,8851.0,4741.0,195.0,6.0,94.0,167.0,22.0,2020.0,7.0,69.0,537800.0,78226.0,0.002492777337458134,0.17375297215759467,0.14545555968761623,8.94843146779843e-05,0.06060644798404623,0.48205128205128206,9.857142857142858,9.415601032069702,12360.528534643629,59951.94705966703,17.720748602156092,2.9424412813674934,143.07456868269725,172755.7317576608
송파구,17340.0,13406.0,3934.0,192.0,3.0,48.0,172.0,17.0,2020.0,23.0,539.0,663965.0,97691.0,0.001965380638953435,0.1774984389554821,0.14713275549162982,0.0002354362223746302,0.04026983038355632,0.25,23.434782608695652,34.13402621077094,36908.837644295825,63281.80482022313,7.835272858865032,42.89764482858334,116.5645528580801,212113.5144077398
강동구,14571.0,10174.0,4397.0,134.0,3.0,139.0,121.0,10.0,2020.0,24.0,349.0,466472.0,74070.0,0.001809099500472526,0.19671931956257593,0.15878766571198272,0.00032401782098015393,0.059362764952072364,1.037313432835821,14.541666666666666,42.926590037992185,10371.391401707268,14850.65402843809,0.5847722203911658,51.1940237123671,86.58300204562124,78753.1677807204
